"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"AreaShape_Zernike_7_1",33,5710,0.00869370946848886,0.00529781678910986,0.00783976279407224,0.00827737293520567,0.005485848610859,0.000103178670994482,0.0277969026939326,0.0276937240229381,0.629544318077425,-0.282593349146576,7.01098246935437e-05
"AreaShape_Zernike_7_3",34,5710,0.00793433152211897,0.00458293055523447,0.00725886119277845,0.0075647294667305,0.00463384331875068,7.17483578099037e-05,0.0303873772739994,0.0303156289161895,0.740552582284745,0.342367326512389,6.06492203487768e-05
"AreaShape_Zernike_7_5",35,5710,0.00676452893885882,0.00432995700376701,0.00594221111527376,0.00631658912178976,0.00408364960338744,4.67207444845501e-05,0.0284051470056016,0.0283584262611171,0.971074731356812,0.830648828863688,5.73014391680565e-05
"AreaShape_Zernike_7_7",36,5710,0.00447504758614438,0.00324397290335818,0.00370830514379842,0.00402151493702932,0.00263311816388194,3.80742802131891e-05,0.022082179689753,0.0220441054095398,1.43231863870928,2.4041640344318,4.29298295162943e-05
"AreaShape_Zernike_8_0",37,5710,0.00803941446548815,0.005637121305581,0.00715725627672683,0.00759892341518453,0.00629205905308621,9.69007526102097e-06,0.0275902838278101,0.027580593752549,0.580467725007545,-0.488419297619272,7.46000857037807e-05
"AreaShape_Zernike_8_2",38,5710,0.00773943454012447,0.00399712430265345,0.00747012652555055,0.00758145698829923,0.00448554658714798,0.000131281930193434,0.0246353347075466,0.0245040527773531,0.340234421645927,-0.534702881418219,5.28968243510024e-05
"AreaShape_Zernike_8_4",39,5710,0.0072739122380889,0.00383956361758944,0.00690760496402449,0.00706888136423978,0.00406326792924762,3.39208506434993e-05,0.0250649331326904,0.0250310122820469,0.511867635438911,-0.068577601900361,5.08117103411826e-05
"AreaShape_Zernike_8_6",40,5710,0.00794729368471387,0.0040939837457346,0.00774054320325203,0.00782497308746113,0.00473874561693673,0.000134167893279866,0.0257373330490856,0.0256031651558057,0.270452742620685,-0.567043312962848,5.4178635112804e-05
"AreaShape_Zernike_8_8",41,5710,0.00775437809506926,0.00273586941990922,0.00811093500518994,0.00789509609438437,0.00282423167787164,3.41620737260133e-05,0.0210041991362293,0.0209700370625033,-0.377889935109636,-0.281051100907304,3.62057302186341e-05
"AreaShape_Zernike_9_1",42,5710,0.00590167143915909,0.00343196778690441,0.00540970057327389,0.00565144561644978,0.00360185831047548,3.30560401850098e-05,0.0214363618786754,0.0214033058384904,0.626253534294183,-0.115451212780225,4.54177011912458e-05
"AreaShape_Zernike_9_3",43,5710,0.00551413653862643,0.0030137006712816,0.00505477235409372,0.00532232868430918,0.00316187239588425,0.000121808913383483,0.0183527194491915,0.018230910535808,0.576468461832132,-0.119822026589108,3.98824712430021e-05
"AreaShape_Zernike_9_5",44,5710,0.00509306196961862,0.00298408732732073,0.00462940296961713,0.00484404114536416,0.00302031631712424,7.58403807168464e-05,0.0182048722377217,0.0181290318570048,0.769700639847116,0.371396128064025,3.94905765368745e-05
"AreaShape_Zernike_9_7",45,5710,0.00447546960265177,0.00287028046954942,0.00390940564619547,0.00416804290710379,0.00264962982365022,3.63004081702465e-05,0.0224870876712118,0.0224507872630416,1.05230211068362,1.29109671952729,3.79844884321157e-05
"AreaShape_Zernike_9_9",46,5710,0.00301089428041997,0.00215146917642448,0.0024870735775092,0.00271747061298132,0.0017977164093948,2.66108440637558e-05,0.0124004308639236,0.0123738200198599,1.31574916477376,1.78296806013957,2.84719409517419e-05
"Intensity_IntegratedIntensityEdge_Rhodamine",47,5710,4.31369534816051,2.86025508938141,3.65793856466189,3.87720810496239,1.86801718608392,0.870298313675448,43.2392464987934,42.3689481851179,3.20990327750975,20.1041316444756,0.0378518153567633
"Intensity_IntegratedIntensity_Rhodamine",48,5710,129.478320247638,145.407994155159,84.7776392491069,101.401936689996,80.4928289332636,6.72767223464325,1779.80186792277,1773.07419568812,3.13444290566059,15.8189803167021,1.92428869949104
