"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"AreaShape_Zernike_1_1",18,4128,0.0438244205816151,0.0283947644730942,0.037485896159768,0.0408404520605073,0.0267796146054298,0.000363740455425669,0.165416813462814,0.165053073007389,0.933630811597337,0.541149157668604,0.000441945205101967
"AreaShape_Zernike_2_0",19,4128,0.163177796789413,0.0388993169641697,0.173492214227539,0.168644683092705,0.0314651955191788,0.000367548506153814,0.228448576608757,0.228081028102603,-1.29520674177184,1.52691706071209,0.000605441423201319
"AreaShape_Zernike_2_2",20,4128,0.0621939431190668,0.0186299262054116,0.0656454875177581,0.0636305820487949,0.0165511627750219,0.00312925814827313,0.120803189186361,0.117673931038087,-0.677210366231325,0.298624204313063,0.000289962136001755
"AreaShape_Zernike_3_1",21,4128,0.0258150287508192,0.0180348991592044,0.0214146196321937,0.0238956389467764,0.0175219598236836,7.7545512683947e-05,0.088751751375044,0.0886742058623601,0.839015721458656,-0.0367718602958012,0.000280700944551252
"AreaShape_Zernike_3_3",22,4128,0.0140755217448895,0.010413891407176,0.0115575129074283,0.0126018380415392,0.00841633787014813,0.0001079988808277,0.077790416764663,0.0776824178838353,1.56417244333106,3.25168106277464,0.000162085139963567
"AreaShape_Zernike_4_0",23,4128,0.0276158036518135,0.0180406507303141,0.0259180660175402,0.026646595865167,0.0212764850261466,2.64341347048475e-05,0.0853385103807096,0.0853120762460047,0.407967628242076,-0.671983763847047,0.000280790463845422
"AreaShape_Zernike_4_2",24,4128,0.0323611578728363,0.0148497996589743,0.0334872703340733,0.0326787199592851,0.0173303923508497,0.000438541173690928,0.0740986571599109,0.0736601159862199,-0.164863224551314,-0.865355453294614,0.000231127036191026
"AreaShape_Zernike_4_4",25,4128,0.024729945279538,0.00811240001283762,0.0264756482644241,0.0253615398801598,0.00792319266790748,0.000684047988981016,0.0483489501501195,0.0476649021611384,-0.624122758512861,-0.261829933596896,0.000126263991058632
"AreaShape_Zernike_5_1",26,4128,0.0133229564634341,0.00883006310377176,0.0116300214854533,0.0124948304653556,0.009061177515263,0.00024954667210654,0.0628303878168066,0.0625808411447001,0.793886189819699,0.244655907372894,0.000137433929172312
"AreaShape_Zernike_5_3",27,4128,0.0116495134540518,0.00792121120176624,0.00988875869016712,0.010709996125377,0.00713696214643311,0.000253824953700146,0.0543338642912778,0.0540800393375776,1.16264829771151,1.49420188386757,0.000123288267192276
"AreaShape_Zernike_5_5",28,4128,0.00715902381476842,0.00516104140621072,0.00596897893338327,0.00646045684401304,0.00431457378710857,7.13404590504308e-05,0.0334700158436525,0.0333986753846021,1.36014567855247,2.1377857841842,8.03281008007244e-05
"AreaShape_Zernike_6_0",29,4128,0.0129150951662611,0.00907287456496007,0.0114477991894851,0.0122207855493969,0.0099951641928484,8.59484074891671e-06,0.0561918744081033,0.0561832795673544,0.593442402511408,-0.414961337003526,0.00014121312449255
"AreaShape_Zernike_6_2",30,4128,0.0125355441876518,0.00666452107563619,0.0119444229774031,0.0122461460905961,0.00739056039038545,0.000185419379056747,0.0384047088365982,0.0382192894575414,0.359343141924517,-0.583522289382075,0.000103728739728386
"AreaShape_Zernike_6_4",31,4128,0.0144120083133279,0.0069534422732027,0.0142957884137678,0.0143666143783535,0.00827028927973683,0.000302318080487839,0.0400063050146171,0.0397039869341293,0.0756772570039255,-0.840742455430977,0.000108225601748067
"AreaShape_Zernike_6_6",32,4128,0.012860232828002,0.00438371317767274,0.0136243024335086,0.0131353467565317,0.00455650209774512,0.000141860340148088,0.0255866455884893,0.0254447852483413,-0.498189719909188,-0.356951831274834,6.82295153830398e-05
"AreaShape_Zernike_7_1",33,4128,0.0086808805421324,0.00531663527453954,0.00778103355766168,0.00824351753369494,0.00545506400992416,0.000103178670994482,0.0277969026939326,0.0276937240229381,0.658421609576122,-0.236127212649703,8.27498135821897e-05
"AreaShape_Zernike_7_3",34,4128,0.0077982868345028,0.00452228333651745,0.00710733803112354,0.00742636292045593,0.00456578477564081,0.000134671222135974,0.0284807269443018,0.0283460557221659,0.757136494591329,0.368538555313582,7.03862656997986e-05
"AreaShape_Zernike_7_5",35,4128,0.00661421693066761,0.00425847578982411,0.0057390951169677,0.00616296241071803,0.00399418059625384,4.67207444845501e-05,0.0253736770561177,0.0253269563116332,0.980422654348564,0.78576547623361,6.62802805826721e-05
